Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Number_of_genres,Title_len,sep_Overview,IMDB_Rating_power_2_plus_price,Rating_trans,IMDB_Rating_norm_sum,IMDB_Rating_sub_mean,IMDB_Rating_norm_minmax,is_top_movie,Rating_on_1_to_2_scale,random_score,Genre_code,orig_index
Gandhi,1982,"Biography, Drama, History",191 min,8.0,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,3,6,0,72.0,0.125,0.010206685378923195,-0.1645833333333382,0.0,0,0,10,23,4
Drishyam,2015,"Crime, Drama, Mystery",163 min,8.2,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",3,8,0,75.44,0.12195121951219513,0.010461852513396274,0.0354166666666611,0.2499999999999989,0,1,93,38,9
Anand,1971,"Drama, Musical",122 min,8.4,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.",2,5,0,78.96000000000001,0.11904761904761904,0.010717019647869355,0.23541666666666217,0.5,1,1,23,47,11
Network,1976,Drama,121 min,8.1,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,1,7,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,11,40,16
Sunrise: A Song of Two Humans,1927,"Drama, Romance",94 min,8.1,An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.,2,29,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,20,51,19
Stalker,1979,"Drama, Sci-Fi",162 min,8.2,A guide leads two men through an area known as the Zone to find a room that grants wishes.,2,7,0,75.44,0.12195121951219513,0.010461852513396274,0.0354166666666611,0.2499999999999989,0,1,11,53,21
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,"Drama, Romance",103 min,8.0,A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.,2,37,0,72.0,0.125,0.010206685378923195,-0.1645833333333382,0.0,0,0,76,51,22
Gone Girl,2014,"Drama, Mystery, Thriller",149 min,8.1,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",3,9,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,16,50,24
Hotel Rwanda,2004,"Biography, Drama, History",121 min,8.1,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",3,12,0,73.71,0.1234567901234568,0.010334268946159735,-0.06458333333333854,0.12499999999999944,0,0,67,23,25
Toy Story,1995,"Animation, Adventure, Comedy",81 min,8.3,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,3,9,0,77.19000000000001,0.12048192771084336,0.010589436080632815,0.13541666666666252,0.37500000000000056,0,1,64,17,26
The King's Speech,2010,"Biography, Drama, History",118 min,8.0,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",3,17,0,72.0,0.125,0.010206685378923195,-0.1645833333333382,0.0,0,0,87,23,30
Bhaag Milkha Bhaag,2013,"Biography, Drama, Sport",186 min,8.2,The truth behind the ascension of Milkha Singh who was scarred because of the India-Pakistan partition.,3,18,0,75.44,0.12195121951219513,0.010461852513396274,0.0354166666666611,0.2499999999999989,0,1,41,24,31
Vozvrashchenie,2003,Drama,110 min,8.0,"In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces.",1,14,0,72.0,0.125,0.010206685378923195,-0.1645833333333382,0.0,0,0,56,40,34
